source_id,category,total_articles,first_article_date,latest_article_date
toi,"{top,politics}",4,2026-04-13 00:51:00,2026-04-13 00:51:00
indianagazette,"{top,entertainment}",1,2026-04-13 00:15:00,2026-04-13 00:15:00
gmanetwork_ph,{top},1,2026-04-10 00:30:00,2026-04-10 00:30:00
thevibes,{lifestyle},1,2026-04-12 23:51:00,2026-04-12 23:51:00
toi,"{top,crime}",1,2026-04-13 00:51:00,2026-04-13 00:51:00
thebrunswicknews,"{top,sports}",1,2026-04-13 00:14:00,2026-04-13 00:14:00
menafn,"{top,lifestyle}",1,2026-04-13 00:06:00,2026-04-13 00:06:00
havasunews,"{top,technology}",1,2026-04-13 00:08:00,2026-04-13 00:08:00
yarrawongachronicle,{food},1,2026-04-10 00:30:00,2026-04-10 00:30:00
realhotnewhiphop,{entertainment},1,2026-04-13 00:13:00,2026-04-13 00:13:00
smdailyjournal,{world},1,2026-04-10 00:30:00,2026-04-10 00:30:00
toi,{health},1,2026-04-13 00:56:00,2026-04-13 00:56:00
google,{business},1,2026-04-13 00:56:00,2026-04-13 00:56:00
slashgear,"{top,technology}",1,2026-04-13 01:45:00,2026-04-13 01:45:00
mb,"{top,health}",1,2026-04-13 00:15:00,2026-04-13 00:15:00
google,"{top,politics}",1,2026-04-13 00:05:00,2026-04-13 00:05:00
finanznachrichten_de,"{top,technology}",1,2026-04-13 01:45:00,2026-04-13 01:45:00
cfotech_asia,"{top,crime}",1,2026-04-13 00:07:00,2026-04-13 00:07:00
google,{entertainment},1,2026-04-13 01:45:00,2026-04-13 01:45:00
santafenewmexican,"{top,sports}",1,2026-04-10 00:30:00,2026-04-10 00:30:00
thestar,"{crime,top}",1,2026-04-13 00:06:00,2026-04-13 00:06:00
heraldbanner,"{sports,top}",1,2026-04-13 00:11:00,2026-04-13 00:11:00
itbrief_co_nz,{top},1,2026-04-13 00:05:00,2026-04-13 00:05:00
cfotech_asia,"{top,business}",1,2026-04-13 00:15:00,2026-04-13 00:15:00
straitstimes,{world},1,2026-04-13 00:07:00,2026-04-13 00:07:00
news9live,"{environment,top}",1,2026-04-13 01:24:00,2026-04-13 01:24:00
itbrief_asia,"{top,technology}",1,2026-04-13 00:55:00,2026-04-13 00:55:00
cfotech_asia,"{top,technology}",1,2026-04-13 00:55:00,2026-04-13 00:55:00
itbrief_com_au,"{top,technology}",1,2026-04-10 00:30:00,2026-04-10 00:30:00
couriermail,"{crime,top}",1,2026-04-13 01:24:00,2026-04-13 01:24:00
itbrief_com_au,"{top,crime}",1,2026-04-13 00:07:00,2026-04-13 00:07:00
mississippivalley,"{top,sports}",1,2026-04-13 00:11:00,2026-04-13 00:11:00
thestreet,"{top,business}",1,2026-04-13 00:07:00,2026-04-13 00:07:00
bangkokpost,"{environment,top,business}",1,2026-04-12 23:51:00,2026-04-12 23:51:00
eonline,{entertainment},1,2026-04-13 00:13:00,2026-04-13 00:13:00
itbrief_co_nz,"{top,crime}",1,2026-04-13 00:07:00,2026-04-13 00:07:00
thewest,{tourism},1,2026-04-13 01:24:00,2026-04-13 01:24:00
9news,{entertainment},1,2026-04-13 00:10:00,2026-04-13 00:10:00
newspressnow,{sports},1,2026-04-13 00:52:00,2026-04-13 00:52:00
theaustralian,{politics},1,2026-04-13 01:45:00,2026-04-13 01:45:00
thetandd,"{top,sports}",1,2026-04-13 00:52:00,2026-04-13 00:52:00
trinidadexpress,{sports},1,2026-04-13 00:52:00,2026-04-13 00:52:00
expresscouk,"{top,sports}",1,2026-04-13 01:49:00,2026-04-13 01:49:00
